resolution,blur,alignmentId,queryId,referenceId,confidence,score,reverseStrand,isValid
64,0,282,9812,2,1885.23,0.38499084807809636,False,1
64,0,215,782,2,910.64,0.38146798755526434,True,1
64,0,191,7300,2,50.81,0.476010101010101,True,1
64,0,274,10552,2,1251.07,0.265910154422087,False,1
64,0,278,1681,2,563.6,0.637197569086114,True,1
64,0,251,11540,2,45.43,0.01666666666666672,True,0
64,0,253,2251,2,374.57,0.40055248618784534,False,1
64,0,271,5970,2,90.02,0.17821872783704862,True,0
64,0,290,8620,2,25.92,0.42682926829268275,False,1
64,0,189,1782,2,443.72,0.06533287901433438,True,0
64,0,212,122,2,1404.84,0.2774027643844421,True,1
64,0,228,10730,2,59.95,0.553072625698324,True,1
64,0,231,8990,2,70.66,0.5286415711947625,True,1
64,0,286,1981,2,563.53,0.537176724137931,False,1
64,0,219,562,2,823.85,0.4334170601828594,False,1
64,0,250,9032,2,446.22,0.4722222222222223,True,1
64,0,217,6610,2,66.89,0.5794392523364487,True,1
64,0,195,62,2,1683.09,0.3077672724785856,False,1
64,0,288,9081,2,444.69,0.20342805593143898,True,1
64,0,202,4370,2,280.27,0.19809069212410502,False,1
64,0,235,26210,2,39.64,0.017045454545454586,True,0
64,0,185,4122,2,144.49,0.10447761194029848,False,0
64,0,293,7962,2,1472.8,0.30641324733543773,True,1
64,0,184,4121,2,144.25,-0.12355776252373296,False,0
64,0,226,7480,2,75.41,0.02349680684419797,False,0
64,0,257,3951,2,197.13,0.28361344537815125,True,1
64,0,267,3692,2,270.84,0.3706616052060737,False,1
64,0,207,721,2,923.79,0.41153325512137895,False,1
64,0,280,5660,2,153.71,0.37377761680550514,True,1
64,0,208,722,2,902.26,0.42191055242642406,False,1
64,0,249,9031,2,467.11,0.4913341758440152,True,1
64,0,248,4792,2,153.22,0.41874999999999996,False,1
64,0,192,4181,2,206.02,0.35623123123123124,True,1
64,0,232,14490,2,38.4,0.30272108843537404,True,1
64,0,266,3691,2,269.94,0.5607217210270644,False,1
64,0,298,9210,2,60.65,0.11144578313252995,True,1
64,0,213,2680,2,345.09,0.509273335360292,False,1
64,0,270,3982,2,247.77,0.5948827292110874,False,1
64,0,291,5440,2,83.2,0.5927977839335181,True,1
64,0,304,1832,2,434.4,0.049955396966993915,True,1
64,0,204,572,2,921.91,0.5454022988505747,False,1
64,0,238,10561,2,1127.37,0.2986947791164659,True,1
64,0,241,5701,2,157.55,0.2872628726287265,True,1
64,0,256,6460,2,47.0,0.44444444444444453,False,1
64,0,188,1781,2,466.15,0.27224559763129186,True,1
64,0,284,8332,2,346.51,0.5181832875383869,False,1
64,0,240,5702,2,164.28,0.3720803910917979,True,1
64,0,211,121,2,1392.26,0.39716720062686584,True,1
64,0,193,4182,2,197.94,0.33311475409836067,True,1
64,0,201,5390,2,134.6,0.5277777777777779,True,1
64,0,264,531,2,1049.64,0.3983361718852352,True,1
64,0,210,4262,2,176.62,0.6966354109211252,False,1
64,0,294,4810,2,154.1,0.4139657444005269,True,1
64,0,247,4791,2,152.38,0.15709395207303167,False,1
64,0,227,10710,2,75.83,0.3849009900990097,False,1
64,0,301,1001,2,616.4,0.25625336202259263,False,1
64,0,239,10562,2,1126.47,0.43305581006254246,True,1
64,0,244,11600,2,49.91,0.35365853658536595,True,1
64,0,275,7130,2,41.65,0.007195767195767422,False,0
64,0,196,4320,2,210.32,0.18850380388841925,True,1
